proper_name,designation,ra_deg_j2000,dec_deg_j2000,hip,vmag
Atlas,27    Tau,57.290595,24.053415,17847,3.62
Pleione,28    Tau,57.29673,24.136712,17851,5.05
,42    Per,57.38622,33.091382,17886,5.14
,Gam Cam,57.589529999999996,71.332266,17959,4.59
,31    Tau,58.00095,6.534907,18089,5.66
,30    Eri,58.17357,-5.361259,18141,5.48
,33Tau8Eri,58.427925,-24.61223,18216,4.64
,44Zet Per,58.533,31.883635,18246,2.84
,32    Eri,58.57293,-2.95473,18255,4.46
,43    Per,59.15205,50.695381,18453,5.28
,32    Tau,59.21697,22.477971,18471,5.62
,33    Tau,59.26587,23.17555,18485,6.05
,45Eps Per,59.46345,40.010215,18532,2.9
Zaurak,34Gam Eri,59.507355,-13.508515,18543,2.97
,Del Ret,59.686425,-61.400185,18597,4.56
Menkib,46Xi  Per,59.741249999999994,35.791033,18614,3.98
,36Tau9Eri,59.981175,-24.016215,18673,4.62
,35Lam Tau,60.17007,12.490347,18724,3.41
,Gam Ret,60.22419,-62.159284,18744,4.48
,Iot Ret,60.32545499999999,-61.078822,18772,4.97
,35    Eri,60.383535,-1.54966,18788,5.28
,38Nu  Tau,60.78909,5.989305,18907,3.91
,40    Tau,60.935849999999995,5.435624,18957,5.32
,36    Tau,61.090305,24.105993,19009,5.46
,37    Tau,61.173795,22.081926,19038,4.36
,39    Tau,61.33437,22.008905,19076,5.9
,47Lam Per,61.646024999999995,50.351262,19167,4.25
,41    Tau,61.65171,27.599903,19171,5.18
,42Psi Tau,61.751925,29.001299,19205,5.21
,49    Per,62.06418,37.727493,19302,6.07
,50    Per,62.152455,38.039733,19335,5.52
,48    Per,62.165355000000005,47.712513,19343,3.96
,43Ome1Tau,62.29152,19.609217,19388,5.51
,37    Eri,62.593845,-6.923852,19483,5.44
,44    Tau,62.707755,26.480952,19513,5.39
,Del Hor,62.71062,-41.993573,19515,4.93
,45    Tau,62.834505,5.523047,19554,5.71
Beid,38Omi1Eri,62.966415,-6.837581,19587,4.04
,46    Tau,63.387930000000004,7.716045,19719,5.29
,47    Tau,63.484935,9.263824,19740,4.84
,Alp Hor,63.500445,-42.294368,19747,3.85
,39    Eri,63.59871,-10.256283,19777,4.87
,Alp Ret,63.60606,-62.473858,19780,3.33
,52    Per,63.722145,40.483671,19811,4.67
,51Mu  Per,63.724425,48.409331,19812,4.12
Keid,40Omi2Eri,63.818055,-7.652871,19849,4.43
,49Mu  Tau,63.88357500000001,8.892357,19860,4.27
,48    Tau,63.942840000000004,15.400695,19877,6.31
,Gam Dor,64.00645499999999,-51.486648,19893,4.26
,Eps Ret,64.12107,-59.302156,19921,4.44
,50Ome2Tau,64.31526,20.578591,19990,4.93
,The Ret,64.41778500000001,-63.255405,20020,5.88
,41Ups4Eri,64.473555,-33.798348,20042,3.55
,Del Men,64.49664,-80.214033,20049,5.67
,51    Tau,64.59666,21.579297,20087,5.64
,53    Tau,64.85874,21.142307,20171,5.5
,56    Tau,64.90293,21.773491,20186,5.34
Prima Hyadum,54Gam Tau,64.948335,15.627642,20205,3.65
,57    Tau,64.990425,14.035201,20219,5.58
,52Phi Tau,65.08840500000001,27.350754,20250,4.97
,54    Per,65.10267,34.566725,20252,4.93
,58    Tau,65.151285,15.095453,20261,5.26
,Nu  Men,65.24182499999999,-81.57992,20297,5.78
,53    Per,65.388165,46.498878,20354,4.8
,Eta Ret,65.47194,-63.386391,20384,5.24
,60    Tau,65.514645,14.077198,20400,5.72
,59Chi Tau,65.645595,25.629314,20430,5.38
Secunda Hyadum,61Del1Tau,65.73370499999999,17.542514,20455,3.77
,63    Tau,65.85441,16.77726,20484,5.64
,42Xi  Eri,65.920215,-3.74547,20507,5.17
,66    Tau,65.965935,9.460968,20522,5.1
,62    Tau,65.99901,24.300992,20533,6.34
Beemim,43    Eri,66.009195,-34.016846,20535,3.97
,64Del2Tau,66.023985,17.44413,20542,4.8
,55    Per,66.12147,34.130758,20579,5.73
,56    Per,66.15606,33.959686,20591,5.77
,65Kap1Tau,66.34233,22.293874,20635,4.21
,67Kap2Tau,66.35421,22.199998,20641,5.27
,68Del3Tau,66.37241999999999,17.92791,20648,4.3
,70    Tau,66.40548,15.94101,20661,6.44
,69Ups Tau,66.576915,22.813583,20711,4.28
,71    Tau,66.58641,15.618265,20713,4.48
,73Pi  Tau,66.651555,14.713782,20732,4.69
,72    Tau,66.822705,22.996337,20789,5.53
,76    Tau,67.097505,14.740974,20873,5.9
,75    Tau,67.10988,16.359672,20877,4.96
,77The1Tau,67.14372,15.962181,20885,3.84
Ain,74Eps Tau,67.154145,19.180431,20889,3.53
Chamukuy,78The2Tau,67.165575,15.870883,20894,3.4
,79    Tau,67.209015,13.047602,20901,5.02
,80    Tau,67.53582,15.63784,20995,5.58
,83    Tau,67.65567,13.724402,21036,5.4
,81    Tau,67.66203,15.691879,21039,5.47
,Del Cae,67.70874,-44.953749,21060,5.07
Hoggar,,67.856055,4.575287,21109,8.38
,85    Tau,67.96564500000001,15.85156,21137,6.01
,45    Eri,67.96944,-0.044011,21139,4.91
,1    Cam,68.007675,53.91083,21148,5.78
,57    Per,68.353755,43.063893,21242,6.09
,50Ups1Eri,68.37734999999999,-29.766492,21248,4.49
,86Rho Tau,68.46214499999999,14.844424,21273,4.65
,46    Eri,68.47803,-6.738908,21278,5.71
,Alp Dor,68.49897,-55.044975,21281,3.3
,47    Eri,68.548455,-8.231352,21296,5.2
Theemin,52Ups2Eri,68.88768,-30.562341,21393,3.81
,88    Tau,68.913585,10.16079,21402,4.25
Aldebaran,87Alp Tau,68.98015500000001,16.509301,21421,0.87
,48Nu  Eri,69.079755,-3.352459,21444,3.93
,58    Per,69.17262,41.264808,21476,4.25
,51    Eri,69.400545,-2.473548,21547,5.22
,89    Tau,69.53934000000001,16.033291,21588,5.78
,90    Tau,69.539415,12.510838,21589,4.27
Sceptrum,53    Eri,69.54509999999999,-14.30402,21594,3.86
,91Sig1Tau,69.78840000000001,15.799846,21673,5.08
,92Sig2Tau,69.81874499999999,15.917977,21683,4.67
,3    Cam,69.97785,53.079535,21727,5.07
,2    Cam,69.99189,53.473021,21730,5.36
,93    Tau,70.01424,12.197609,21735,5.45
,54    Eri,70.110465,-19.671493,21763,4.32
,Alp Cae,70.140585,-41.863752,21770,4.44
,Bet Cae,70.514475,-37.144297,21861,5.04
,94Tau Tau,70.56126,22.956926,21881,4.27
,Lam Pic,70.69348500000001,-50.481334,21914,5.3
,59    Per,70.72633499999999,43.365138,21928,5.3
,Mu  Men,70.76646,-70.931027,21949,5.53
,95    Tau,70.80731999999999,24.08892,21961,6.18
,55    Eri,70.89477,-8.794317,21986,5.98
,56    Eri,71.022165,-8.503571,22024,5.78
,Kap Dor,71.088075,-59.732733,22040,5.28
,57Mu  Eri,71.375625,-3.254657,22109,4.01
,58    Eri,71.901195,-16.934456,22263,5.49
,Zet Cae,71.95656,-30.020372,22280,6.35
,4    Cam,72.001035,56.757183,22287,5.29
,59    Eri,72.135555,-16.329484,22325,5.76
,96    Tau,72.43368,15.904221,22441,6.09
Tabit,1Pi 3Ori,72.460035,6.961276,22449,3.19
,60    Eri,72.5484,-16.217159,22479,5.03
Mouhoun,,72.57442499999999,-24.368839,22491,7.91
,2Pi 2Ori,72.65301,8.900176,22509,4.35
,Iot Pic,72.73059,-53.461508,22531,5.58
,Iot Pic,72.73554,-53.459698,22534,6.42
,3Pi 4Ori,72.80151000000001,5.605104,22549,3.68
,97    Tau,72.843585,18.839861,22565,5.08
,4Omi1Ori,73.133175,14.250642,22667,4.71
,2    Aur,73.15827,36.703187,22678,4.79
,61Ome Eri,73.223625,-5.452695,22701,4.36
,5    Ori,73.344885,2.508225,22730,5.33
,9Alp Cam,73.51254,66.342678,22783,4.26
,8Pi 5Ori,73.562895,2.440672,22797,3.71
,6    Ori,73.695405,11.426006,22833,5.18
,7Pi 1Ori,73.72386,10.150833,22845,4.64
,5    Cam,73.76305500000001,55.259109,22854,5.52
,Eta Men,73.796475,-74.936852,22871,5.47
,9Omi2Ori,74.092815,13.514466,22957,4.06
,62    Eri,74.10078,-5.171356,22958,5.5
Hassaleh,3Iot Aur,74.24840999999999,33.16609,23015,2.69
,7    Cam,74.3217,53.752101,23040,4.43
,99    Tau,74.45269499999999,23.948562,23068,5.79
,98    Tau,74.539125,25.050405,23088,5.79
,10Pi 6Ori,74.63709,1.714016,23123,4.47
,Xi  Men,74.712435,-82.470512,23148,5.84
,4Ome Aur,74.81418000000001,37.890245,23179,4.93
,8    Cam,74.94305999999999,53.155451,23216,6.09
,63    Eri,74.96021999999999,-10.263325,23221,5.39
,64    Eri,74.98223999999999,-12.537416,23231,4.78
,5    Aur,75.076425,39.394701,23261,5.95
,6    Aur,75.096735,39.654653,23268,6.46
,65Psi Eri,75.359775,-7.173965,23364,4.8
Almaaz,7Eps Aur,75.492225,43.823308,23416,3.03
Saclateni,8Zet Aur,75.61951499999999,41.075837,23453,3.69
,Bet Men,75.679185,-71.3143,23467,5.3
,1    Lep,75.68742,-22.795052,23474,5.74
,Eta1Pic,75.70291499999999,-49.151407,23482,5.37
,102Iot Tau,75.77394,21.589962,23497,4.62
,10Bet Cam,75.85454999999999,60.442245,23522,4.03
,Gam1Cae,76.10159999999999,-35.482978,23595,4.55
,Gam2Cae,76.108965,-35.705109,23596,6.32
,11    Ori,76.14229499999999,15.404105,23607,4.65
,Eta2Pic,76.24164,-49.577837,23649,5.05
,2Eps Lep,76.36527,-22.371032,23685,3.19
,Zet Dor,76.377795,-57.472704,23693,4.71
,11    Cam,76.535235,58.972372,23734,5.22
,12    Cam,76.55058,59.02134,23743,6.08
Haedus,10Eta Aur,76.6287,41.234474,23767,3.18
,9    Aur,76.669335,51.59772,23783,4.98
,66    Eri,76.69021500000001,-4.655163,23794,5.12
,104    Tau,76.86246,18.645052,23835,4.91
,13    Ori,76.90963500000001,9.47178,23852,6.15
,106    Tau,76.951665,20.418379,23871,5.28
Cursa,67Bet Eri,76.962435,-5.086446,23875,2.78
,14    Ori,76.970385,8.498429,23879,5.33
,105    Tau,76.98099,21.704821,23883,5.84
,103    Tau,77.027595,24.265175,23900,5.5
,68    Eri,77.18208,-4.456207,23941,5.11
,69Lam Eri,77.2866,-8.754081,23972,4.25
,16    Ori,77.33184,9.829579,23983,5.43
Mago,,77.402715,69.639401,24003,6.43
,15    Ori,77.42481000000001,15.597232,24010,4.81
Kapteyn's Star,,77.91253499999999,-45.018417,24186,8.86
,3Iot Lep,78.074595,-11.869219,24244,4.45
,5Mu  Lep,78.23292,-16.205468,24305,3.29
,4Kap Lep,78.30783,-12.941291,24327,4.36
,17Rho Ori,78.322845,2.861265,24331,4.46
,11Mu  Aur,78.35716500000001,38.484498,24340,4.82
,14    Cam,78.380295,62.691132,24348,6.49
,The Dor,78.43932000000001,-67.185255,24372,4.81
Rigel,19Bet Ori,78.63447,-8.20164,24436,0.18
,14    Aur,78.851655,32.6876,24504,5.01
,108    Tau,78.86523,22.284858,24512,6.26
,18    Ori,79.017225,11.341354,24555,5.52
Capella,13Alp Aur,79.17225,45.997991,24608,0.08
,Omi Col,79.371165,-34.895207,24659,4.81
,20Tau Ori,79.40163,-6.844409,24674,3.59
,16    Aur,79.54402499999999,33.371613,24727,4.54
,17    Aur,79.578735,33.767348,24740,6.15
,15Lam Aur,79.784925,40.099051,24813,4.69
,21    Ori,79.796745,2.595806,24817,5.34
,109    Tau,79.81917,22.096494,24822,4.96
,Zet Pic,79.842195,-50.605967,24829,5.44
,18    Aur,79.84891499999999,33.985421,24832,6.49
,15    Cam,79.86606,58.117365,24836,6.13
,6Lam Lep,79.893855,-13.176788,24845,4.29
,7Nu  Lep,79.99593,-12.315585,24873,5.29
,19    Aur,80.003835,33.958054,24879,5.05
,22    Ori,80.44062,-0.382465,25044,4.72
,20Rho Aur,80.45172,41.804572,25048,5.22
,Kap Pic,80.592285,-56.134401,25098,6.1
,23    Ori,80.70834,3.544452,25142,4.99
,22    Aur,80.84529,28.936761,25192,6.45
,16    Cam,80.865975,57.544395,25197,5.24
,8    Lep,80.87565,-13.927352,25202,5.25
,110    Tau,80.907105,16.699298,25216,6.09
,29    Ori,80.986785,-7.808065,25247,4.13
,111    Tau,81.106065,17.383534,25278,5.0
,28Eta Ori,81.119235,-2.397146,25281,3.35
,27    Ori,81.12045,-0.891328,25282,5.07
,21Sig Aur,81.163095,37.385346,25292,5.02
,25Psi1Ori,81.18678,1.846445,25302,4.89
,The Pic,81.19287,-52.316245,25303,6.26
Bellatrix,24Gam Ori,81.282765,6.349702,25336,1.64
,113    Tau,81.52384500000001,16.700161,25410,6.23
Elnath,112Bet Tau,81.57297,28.60745,25428,1.65
,Lam Dor,81.580305,-58.91252,25429,5.14
,30Psi2Ori,81.70929,3.095674,25473,4.59
,115    Tau,81.79206,17.962216,25499,5.4
,114    Tau,81.908685,21.936965,25539,4.88
,24Phi Aur,81.91203,34.475892,25541,5.08
,116    Tau,81.940035,15.874052,25555,5.52
,117    Tau,82.00671,17.23913,25583,5.77
Nihal,9Bet Lep,82.06134,-20.759441,25606,2.81
,118    Tau,82.31874,25.150215,25695,5.47
,31    Ori,82.43325,-1.092239,25737,4.71
,17    Cam,82.542525,63.06722,25769,5.43
,32    Ori,82.69605,5.948139,25813,4.2
,10    Lep,82.78177500000001,-20.863659,25853,5.53
,Eps Col,82.80313500000001,-35.470519,25859,3.86
,33    Ori,82.810545,3.292133,25861,5.46
,Gam Men,82.96977,-76.340964,25918,5.18
,36Ups Ori,82.982745,-7.301537,25923,4.62
Mintaka,34Del Ori,83.001675,-0.299092,25930,2.25
,119    Tau,83.05312500000001,18.594234,25945,4.32
,18    Cam,83.140605,57.221071,25973,6.44
,25Chi Aur,83.181975,32.192022,25984,4.71
Arneb,11Alp Lep,83.18256000000001,-17.822289,25985,2.58
,120    Tau,83.38179,18.540231,26064,5.67
,Bet Dor,83.40631499999999,-62.489825,26069,3.76
,35    Ori,83.476185,14.305578,26093,5.6
,38    Ori,83.56989,3.766895,26126,5.32
,37Phi1Ori,83.70516,9.489579,26176,4.39
Meissa,39Lam Ori,83.78449499999999,9.934158,26207,3.39
,41The1Ori,83.81592,-5.387315,26220,4.98
,41The1Ori,83.818605,-5.389696,26221,5.13
,41The1Ori,83.821665,-5.38768,26224,6.71
,43The2Ori,83.84542499999999,-5.41606,26235,4.98
,42    Ori,83.84652,-4.838358,26237,4.58
Hatysa,44Iot Ori,83.85826499999999,-5.909901,26241,2.75
,121    Tau,83.863035,24.039589,26248,5.37
,Iot Men,83.90057999999999,-78.820839,26264,6.04
,45    Ori,83.914515,-4.856067,26268,5.24
Alnilam,46Eps Ori,84.05338499999999,-1.20192,26311,1.69
,40Phi2Ori,84.22662,9.290673,26366,4.09
Bubup,,84.25753499999999,-73.699343,26380,6.69
,122    Tau,84.26556,17.040324,26382,5.53
,Pi  Men,84.2874,-80.469122,26394,5.65
,19    Cam,84.31278,64.15469,26408,6.15
,Nu 1Col,84.318765,-27.871362,26412,6.15
Tianguan,123Zet Tau,84.41119499999999,21.142549,26451,2.97
,Nu 2Col,84.435915,-28.68969,26460,5.28
,26    Aur,84.65869500000001,30.492412,26536,5.4
,48Sig Ori,84.68653499999999,-2.600069,26549,3.77
,49    Ori,84.721185,-7.212829,26563,4.77
,47Ome Ori,84.79643999999999,4.121467,26594,4.5
Phact,Alp Col,84.912255,-34.074108,26634,2.65
,125    Tau,84.93415499999999,25.897091,26640,5.18
Alnitak,50Zet Ori,85.189695,-1.942572,26727,1.74
,126    Tau,85.323825,16.534148,26777,4.84
,12    Lep,85.558155,-22.373715,26865,5.88
,51    Ori,85.619295,1.474629,26885,4.9
,24    Cam,85.75695,56.581522,26942,6.05
,23    Cam,86.03523,61.476536,27046,6.17
,13Gam Lep,86.115855,-22.448382,27072,3.59
,Del Dor,86.193345,-65.735526,27100,4.34
,27Omi Aur,86.47518,49.826255,27196,5.46
,Mu  Col,86.499555,-32.306435,27204,5.18
,26    Cam,86.62659000000001,56.115575,27249,5.93
,129    Tau,86.689575,15.822497,27265,6.0
,14Zet Lep,86.738925,-14.82195,27288,3.55
,131    Tau,86.804805,14.488322,27316,5.72
,Bet Pic,86.821185,-51.066514,27321,3.85
,130    Tau,86.85915,17.729141,27338,5.47
,133    Tau,86.92877999999999,13.899599,27364,5.28
Saiph,53Kap Ori,86.939115,-9.669605,27366,2.07
,Lam Men,86.95059,-72.70225,27369,6.54
,52    Ori,87.000975,6.454156,27386,5.26
,132    Tau,87.254025,24.567535,27468,4.88
,29Tau Aur,87.293505,39.181071,27483,4.51
,134    Tau,87.38721000000001,12.651324,27511,4.89
,Gam Pic,87.456765,-56.166663,27530,4.5
,Eps Dor,87.473085,-66.901187,27534,5.1
,Kap Men,87.569985,-79.361362,27566,5.46
,135    Tau,87.620445,14.305608,27581,5.54
,29    Cam,87.641175,56.918938,27592,6.53
Wazn,Bet Col,87.739935,-35.768309,27628,3.12
,31Ups Aur,87.760125,37.305573,27639,4.72
,15Del Lep,87.830355,-20.879089,27654,3.76
,55    Ori,87.841605,-7.518003,27658,5.36
,32Nu  Aur,87.87249,39.14848,27673,3.97
,30    Cam,88.0719,58.964088,27731,6.14
,137    Tau,88.092885,14.171787,27743,5.6
,56    Ori,88.11016500000001,1.855134,27750,4.76
,Lam Col,88.278675,-33.801361,27810,4.88
,136    Tau,88.33185,27.612262,27830,4.56
,54Chi1Ori,88.59579000000001,20.276174,27913,4.39
,30Xi  Aur,88.71160499999999,55.706947,27949,4.96
,57    Ori,88.73619000000001,19.749614,27965,5.92
,31    Cam,88.74094500000001,59.888367,27971,5.2
Betelgeuse,58Alp Ori,88.792935,7.407063,27989,0.45
,Xi  Col,88.874625,-37.120668,28010,4.97
,Sig Col,89.087265,-31.38244,28098,5.52
,16Eta Lep,89.10123,-14.1677,28103,3.71
,Gam Col,89.38420500000001,-35.28328,28199,4.36
,139    Tau,89.498565,25.953912,28237,4.81
,59    Ori,89.60184,1.837108,28271,5.89
,60    Ori,89.70655500000001,0.552979,28296,5.21
,1    Mon,89.754495,-9.382223,28321,6.15
,2    Mon,89.76796499999999,-9.55825,28325,5.04
,Eta Col,89.78667,-42.815135,28328,3.96
,33Del Aur,89.88166500000001,54.284656,28358,3.72
Menkalinan,34Bet Aur,89.88223500000001,44.947433,28360,1.9
Mahasim,37The Aur,89.930265,37.212585,28380,2.65
,35Pi  Aur,89.98375499999999,45.936736,28404,4.3
,36    Aur,90.244005,47.901923,28499,5.71
,3    Mon,90.460095,-10.59793,28574,4.92
,61Mu  Ori,90.59583,9.647276,28614,4.12
,38    Aur,90.82473,42.911564,28677,6.08
,64    Ori,90.86403,19.690561,28691,5.14
,62Chi2Ori,90.979935,20.138452,28716,4.64
,1    Gem,91.03006500000001,23.263341,28734,4.16
,63    Ori,91.242435,5.41997,28812,5.67
,66    Ori,91.24317,4.158671,28814,5.63
,17    Lep,91.246365,-16.484435,28816,4.92
,39    Aur,91.26414,42.981635,28823,5.9
,18The Lep,91.53885,-14.935254,28910,4.67
,Eta1Dor,91.539045,-66.039621,28909,5.72
,40    Aur,91.646235,38.482644,28946,5.35
,Pi 1Col,91.67103,-42.298804,28957,6.15
Elkurud,The Col,91.88179500000001,-37.25292,29034,5.0
,67Nu  Ori,91.893015,14.768472,29038,4.42
,19    Lep,91.923495,-19.165866,29048,5.28
,Pi 2Col,91.97025000000001,-42.154043,29064,5.5
,Nu  Dor,92.18464499999999,-68.843409,29134,5.06
,3    Gem,92.43327000000001,23.113466,29225,5.75
,37    Cam,92.49584999999999,58.935694,29246,5.35
,Alp Men,92.55948000000001,-74.753045,29271,5.08
,Del Pic,92.57463,-54.968645,29276,4.72
,Eta2Dor,92.8125,-65.589417,29353,5.01
,5    Gem,92.884605,24.420253,29379,5.83
,41    Aur,92.90244,48.710989,29388,5.78
,70Xi  Ori,92.984985,14.208765,29426,4.45
,68    Ori,93.00558,19.790543,29433,5.76
,69    Ori,93.01366499999999,16.130406,29434,4.95
,6    Gem,93.079575,22.908514,29450,6.51
,36    Cam,93.21273000000001,65.718422,29490,5.36
Amadioha,,93.398535,-29.897269,29550,8.98
,71    Ori,93.712005,19.156448,29650,5.2
,5Gam Mon,93.71388,-6.274776,29651,3.99
Propus,7Eta Gem,93.719415,22.506799,29655,3.31
,44Kap Aur,93.84456,29.498076,29696,4.32
,72    Ori,93.85470000000001,16.143175,29704,5.34
,40    Cam,93.918855,59.998975,29730,5.37
,73    Ori,93.93735,12.551067,29736,5.44
,8    Gem,94.07935499999999,23.970027,29789,6.09
,74    Ori,94.11091499999999,12.272163,29800,5.04
,Kap Col,94.13806500000001,-35.140519,29807,4.37
,9    Gem,94.24461000000001,23.740909,29840,6.24
,75    Ori,94.27758,9.94239,29850,5.39
,42    Aur,94.3944,46.423953,29884,6.53
,6    Mon,94.39635,-10.724988,29885,6.76
,1    Lyn,94.478445,61.515286,29919,5.01
,43    Aur,94.57026,46.360443,29949,6.33
,2    Lyn,94.90578000000001,59.010964,30060,4.44
,7    Mon,94.928325,-7.822908,30073,5.27
Red Rectangle,,94.99257,-10.637414,30089,8.85
Furud,1Zet CMa,95.078295,-30.063367,30122,3.02
,45    Aur,95.442165,53.452179,30247,5.34
,4    Lyn,95.51481,59.372099,30272,6.05
,Del Col,95.52846,-33.4364,30277,3.85
,Pi 1Dor,95.65935,-69.984043,30321,5.56
Mirzam,2Bet CMa,95.674935,-17.955918,30324,1.98
,Nu  Pic,95.732685,-56.369969,30342,5.6
Tejat,13Mu  Gem,95.740095,22.513586,30343,2.87
,8Eps Mon,95.942025,4.592865,30419,4.39
Canopus,Alp Car,95.98792499999999,-52.69566,30438,-0.62
,46Psi1Aur,96.224595,49.287893,30520,4.92
,Pi 2Dor,96.36934500000001,-69.690299,30565,5.37
,5    Lyn,96.70365,58.417409,30679,5.21
,16    Gem,96.98612999999999,20.49632,30769,6.22
,10    Mon,96.98988,-4.762154,30772,5.06
,Lam CMa,97.04254499999999,-32.58007,30788,4.47
,48    Aur,97.14204000000001,30.493034,30827,5.75
Lucilinburhuc,,97.19049,38.962963,30860,7.89
,11Bet Mon,97.204455,-7.033062,30867,3.76
,18Nu  Gem,97.240785,20.212133,30883,4.13
Lusitânia,,97.30495499999999,10.933891,30905,8.1
Ross 614,,97.347495,-2.813979,30920,11.12
,47    Aur,97.512405,46.685554,30972,5.88
,6    Lyn,97.69635,58.162633,31039,5.86
,19    Gem,97.90597500000001,15.903501,31105,6.38
,4Xi 1CMa,97.964025,-23.418422,31125,4.34
,Mu  Pic,97.99296,-58.753835,31137,5.69
,12    Mon,98.08002,4.855999,31159,5.88
,13    Mon,98.22594000000001,7.332965,31216,4.47
,7    Lyn,98.636655,55.353042,31359,6.45
,14    Mon,98.692995,7.572482,31385,6.44
,5Xi 2CMa,98.76411,-22.964793,31416,4.54
,49    Aur,98.80026,28.022314,31434,5.26
,6Nu 1CMa,99.095205,-18.659904,31564,5.71
,7Nu 2CMa,99.17098499999999,-19.255879,31592,3.95
,11    Lyn,99.40998,56.857531,31665,5.87
,8    Lyn,99.423,61.481233,31676,5.94
Alhena,24Gam Gem,99.42792,16.399252,31681,1.93
,Nu  Pup,99.440295,-43.195934,31685,3.17
,8Nu 3CMa,99.47259,-18.237478,31700,4.42
,53    Aur,99.595875,28.984354,31737,5.76
,51    Aur,99.664755,39.390854,31771,5.7
,52Psi3Aur,99.704925,39.902559,31789,5.34
,50Psi2Aur,99.832605,42.488877,31832,4.8
,54    Aur,99.888,28.263134,31852,6.02
Nosaxa,,100.00716,-48.541955,31895,8.05
,Zet Men,100.01211,-80.813593,31897,5.61
,15    Mon,100.24441499999999,9.895754,31978,4.66
,25    Gem,100.33707,28.196638,32019,6.45
,26    Gem,100.601355,17.645303,32104,5.2
,55Psi4Aur,100.770765,44.52445,32173,5.04
Mebsuta,27Eps Gem,100.98303,25.131124,32246,3.06
,30    Gem,100.997055,13.228017,32249,4.49
,10    CMa,101.11861499999999,-31.070523,32292,5.23
,28    Gem,101.18941500000001,28.970932,32311,5.42
Sirius,9Alp CMa,101.287215,-16.716116,32349,-1.44
Alzirr,31Xi  Gem,101.32236,12.895591,32362,3.35
,32    Gem,101.475825,12.693561,32404,6.47
,12    Lyn,101.558925,59.44167,32438,4.86
,16    Mon,101.635065,8.587153,32463,5.92
,56Psi5Aur,101.684745,43.577427,32480,5.24
,13    Lyn,101.706255,57.169176,32489,5.34
,11    CMa,101.712885,-14.425971,32492,5.28
,12    CMa,101.756175,-21.015402,32504,6.07
,17    Mon,101.83263,8.037254,32533,4.77
,57Psi6Aur,101.914905,48.789476,32562,5.22
,18    Mon,101.9652,2.412159,32578,4.48
,Alp Pic,102.04791,-61.941391,32607,3.24
,33    Gem,102.45765,16.202888,32753,5.87
,13Kap CMa,102.460245,-32.508478,32759,3.5
,Tau Pup,102.48398999999999,-50.61456,32768,2.94
,35    Gem,102.60624,13.413177,32814,5.68
,58Psi7Aur,102.691455,41.78123,32844,4.99
,42    Cam,102.737865,67.571934,32864,5.14
,Iot Vol,102.862425,-70.963411,32912,5.41
Nervia,,102.877125,40.867756,32916,8.1
,36    Gem,102.887685,21.761148,32921,5.28
,34The Gem,103.19724,33.961254,33018,3.6
,59    Aur,103.255875,38.869157,33041,6.1
,14    Lyn,103.27107,59.448543,33048,5.34
,60    Aur,103.30581,38.438013,33064,6.32
,15    CMa,103.38711,-20.224254,33092,4.82
,43    Cam,103.42602000000001,68.888309,33104,5.11
,61Psi8Aur,103.48780500000001,38.505018,33133,6.46
,16Omi1CMa,103.533135,-24.184211,33152,3.89
,14The CMa,103.547505,-12.038628,33160,4.08
,38    Gem,103.66098000000001,13.177827,33202,4.73
,17    CMa,103.761405,-20.404876,33248,5.8
,37    Gem,103.827795,25.375697,33277,5.74
,19Pi  CMa,103.90596,-20.136497,33302,4.66
,18Mu  CMa,104.02768499999999,-14.04343,33345,5.0
,20Iot CMa,104.03426999999999,-17.054242,33347,4.36
,Psi9Aur,104.13356999999999,46.273998,33377,5.85
,The Men,104.143665,-79.420193,33384,5.45
,15    Lyn,104.31918,58.422759,33449,4.35
,16    Lyn,104.404635,45.094094,33485,4.9
Adhara,21Eps CMa,104.656455,-28.972084,33579,1.5
,39    Gem,104.697585,26.081079,33595,6.2
,62    Aur,104.76189,38.052317,33614,6.02
,40    Gem,104.86638,25.914171,33650,6.4
,41    Gem,105.06594,16.078998,33715,5.73
Citalá,,105.07515000000001,-5.367162,33719,6.29
Nganurganity,22Sig CMa,105.42978000000001,-27.93483,33856,3.49
,42Ome Gem,105.603255,24.215446,33927,5.2
,19    Mon,105.72823500000001,-4.239231,33971,4.99
,24Omi2CMa,105.756135,-23.833291,33977,3.02
Muliphein,23Gam CMa,105.939555,-15.633286,34045,4.11
Mekbuda,43Zet Gem,106.027215,20.570297,34088,4.01
,44    Gem,106.32654,22.637458,34182,6.0
,45    Gem,107.091825,15.930675,34440,5.47
Wezen,25Del CMa,107.097855,-26.3932,34444,1.83
,Gam1Vol,107.17647,-70.497087,34473,5.68
,Gam2Vol,107.18682,-70.498932,34481,3.78
,20    Mon,107.557005,-4.237106,34622,4.91
,46Tau Gem,107.784885,30.245163,34693,4.41
,47    Gem,107.846115,26.856587,34722,5.75
,21    Mon,107.848395,-0.301928,34724,5.44
,63    Aur,107.913825,39.320549,34752,4.91
,22Del Mon,107.966085,-0.492764,34769,4.15
,26    CMa,108.050895,-25.942588,34798,5.91
,48    Gem,108.109905,24.128594,34819,5.85
,51    Gem,108.34281,16.158966,34909,5.07
,27    CMa,108.563385,-26.352507,34981,4.42
,52    Gem,108.674895,24.884984,35025,5.84
,28Ome CMa,108.702735,-26.772667,35037,4.01
,24    Mon,108.830865,-0.161283,35080,6.42
